codigo_pais,pais,nivel_ingreso,a�o,codigo_indicador,energia_per_capita
AGO,Angola,Lower middle income,1983,EG.USE.PCAP.KG.OE,501.98
AGO,Angola,Lower middle income,1984,EG.USE.PCAP.KG.OE,489.18
AGO,Angola,Lower middle income,1985,EG.USE.PCAP.KG.OE,500.49
AGO,Angola,Lower middle income,1986,EG.USE.PCAP.KG.OE,488.52
AGO,Angola,Lower middle income,1987,EG.USE.PCAP.KG.OE,483.41
AGO,Angola,Lower middle income,1988,EG.USE.PCAP.KG.OE,486.38
AGO,Angola,Lower middle income,1989,EG.USE.PCAP.KG.OE,480.74
AGO,Angola,Lower middle income,1990,EG.USE.PCAP.KG.OE,497.37
AGO,Angola,Lower middle income,1991,EG.USE.PCAP.KG.OE,492.62
AGO,Angola,Lower middle income,1992,EG.USE.PCAP.KG.OE,479.53
AGO,Angola,Lower middle income,1993,EG.USE.PCAP.KG.OE,481.17
AGO,Angola,Lower middle income,1994,EG.USE.PCAP.KG.OE,472.4
AGO,Angola,Lower middle income,1995,EG.USE.PCAP.KG.OE,456.75
AGO,Angola,Lower middle income,1996,EG.USE.PCAP.KG.OE,454.6
AGO,Angola,Lower middle income,1997,EG.USE.PCAP.KG.OE,449.27
AGO,Angola,Lower middle income,1998,EG.USE.PCAP.KG.OE,433.68
AGO,Angola,Lower middle income,1999,EG.USE.PCAP.KG.OE,441.06
AGO,Angola,Lower middle income,2000,EG.USE.PCAP.KG.OE,438.59
AGO,Angola,Lower middle income,2001,EG.USE.PCAP.KG.OE,443.09
AGO,Angola,Lower middle income,2002,EG.USE.PCAP.KG.OE,448.35
AGO,Angola,Lower middle income,2003,EG.USE.PCAP.KG.OE,467.57
AGO,Angola,Lower middle income,2004,EG.USE.PCAP.KG.OE,464.49
AGO,Angola,Lower middle income,2005,EG.USE.PCAP.KG.OE,433.19
AGO,Angola,Lower middle income,2006,EG.USE.PCAP.KG.OE,458.51
AGO,Angola,Lower middle income,2007,EG.USE.PCAP.KG.OE,471.6
AGO,Angola,Lower middle income,2008,EG.USE.PCAP.KG.OE,492.07
AGO,Angola,Lower middle income,2009,EG.USE.PCAP.KG.OE,515.37
AGO,Angola,Lower middle income,2010,EG.USE.PCAP.KG.OE,520.79
AGO,Angola,Lower middle income,2011,EG.USE.PCAP.KG.OE,520.95
AGO,Angola,Lower middle income,2012,EG.USE.PCAP.KG.OE,550.6
AGO,Angola,Lower middle income,2013,EG.USE.PCAP.KG.OE,531.08
ALB,Albania,Upper middle income,1980,EG.USE.PCAP.KG.OE,1149.54
ALB,Albania,Upper middle income,1981,EG.USE.PCAP.KG.OE,989.2
ALB,Albania,Upper middle income,1982,EG.USE.PCAP.KG.OE,966.68
ALB,Albania,Upper middle income,1983,EG.USE.PCAP.KG.OE,1000.12
ALB,Albania,Upper middle income,1984,EG.USE.PCAP.KG.OE,1018.26
ALB,Albania,Upper middle income,1985,EG.USE.PCAP.KG.OE,916.56
ALB,Albania,Upper middle income,1986,EG.USE.PCAP.KG.OE,963.93
ALB,Albania,Upper middle income,1987,EG.USE.PCAP.KG.OE,921.89
ALB,Albania,Upper middle income,1988,EG.USE.PCAP.KG.OE,927.74
ALB,Albania,Upper middle income,1989,EG.USE.PCAP.KG.OE,896.44
ALB,Albania,Upper middle income,1990,EG.USE.PCAP.KG.OE,813.26
ALB,Albania,Upper middle income,1991,EG.USE.PCAP.KG.OE,572.78
ALB,Albania,Upper middle income,1992,EG.USE.PCAP.KG.OE,418.29
ALB,Albania,Upper middle income,1993,EG.USE.PCAP.KG.OE,412.38
ALB,Albania,Upper middle income,1994,EG.USE.PCAP.KG.OE,441.25
ALB,Albania,Upper middle income,1995,EG.USE.PCAP.KG.OE,417.03
ALB,Albania,Upper middle income,1996,EG.USE.PCAP.KG.OE,447.85
ALB,Albania,Upper middle income,1997,EG.USE.PCAP.KG.OE,384.59
ALB,Albania,Upper middle income,1998,EG.USE.PCAP.KG.OE,426.68
ALB,Albania,Upper middle income,1999,EG.USE.PCAP.KG.OE,576.18
ALB,Albania,Upper middle income,2000,EG.USE.PCAP.KG.OE,580.49
ALB,Albania,Upper middle income,2001,EG.USE.PCAP.KG.OE,597.27
ALB,Albania,Upper middle income,2002,EG.USE.PCAP.KG.OE,660.05
ALB,Albania,Upper middle income,2003,EG.USE.PCAP.KG.OE,648.17
ALB,Albania,Upper middle income,2004,EG.USE.PCAP.KG.OE,715.41
ALB,Albania,Upper middle income,2005,EG.USE.PCAP.KG.OE,719.58
ALB,Albania,Upper middle income,2006,EG.USE.PCAP.KG.OE,706.86
ALB,Albania,Upper middle income,2007,EG.USE.PCAP.KG.OE,679.86
ALB,Albania,Upper middle income,2008,EG.USE.PCAP.KG.OE,710.75
ALB,Albania,Upper middle income,2009,EG.USE.PCAP.KG.OE,732.32
ALB,Albania,Upper middle income,2010,EG.USE.PCAP.KG.OE,729.15
ALB,Albania,Upper middle income,2011,EG.USE.PCAP.KG.OE,764.97
ALB,Albania,Upper middle income,2012,EG.USE.PCAP.KG.OE,687.9
ALB,Albania,Upper middle income,2013,EG.USE.PCAP.KG.OE,801.33
ARB,Arab World,,1980,EG.USE.PCAP.KG.OE,788.57
ARB,Arab World,,1981,EG.USE.PCAP.KG.OE,877.81
ARB,Arab World,,1982,EG.USE.PCAP.KG.OE,947.08
ARB,Arab World,,1983,EG.USE.PCAP.KG.OE,989.36
ARB,Arab World,,1984,EG.USE.PCAP.KG.OE,982.08
ARB,Arab World,,1985,EG.USE.PCAP.KG.OE,1007.67
ARB,Arab World,,1986,EG.USE.PCAP.KG.OE,1023.65
ARB,Arab World,,1987,EG.USE.PCAP.KG.OE,1076.38
ARB,Arab World,,1988,EG.USE.PCAP.KG.OE,1137.59
ARB,Arab World,,1989,EG.USE.PCAP.KG.OE,1164.28
ARB,Arab World,,1990,EG.USE.PCAP.KG.OE,1073.39
ARB,Arab World,,1991,EG.USE.PCAP.KG.OE,1090.52
ARB,Arab World,,1992,EG.USE.PCAP.KG.OE,1174.15
ARB,Arab World,,1993,EG.USE.PCAP.KG.OE,1221.6
ARB,Arab World,,1994,EG.USE.PCAP.KG.OE,1260.84
ARB,Arab World,,1995,EG.USE.PCAP.KG.OE,1261.02
ARB,Arab World,,1996,EG.USE.PCAP.KG.OE,1281.79
ARB,Arab World,,1997,EG.USE.PCAP.KG.OE,1299.87
ARB,Arab World,,1998,EG.USE.PCAP.KG.OE,1288.59
ARB,Arab World,,1999,EG.USE.PCAP.KG.OE,1272.81
ARB,Arab World,,2000,EG.USE.PCAP.KG.OE,1272.86
ARB,Arab World,,2001,EG.USE.PCAP.KG.OE,1337.71
ARB,Arab World,,2002,EG.USE.PCAP.KG.OE,1373.02
ARB,Arab World,,2003,EG.USE.PCAP.KG.OE,1364.86
ARB,Arab World,,2004,EG.USE.PCAP.KG.OE,1413.73
ARB,Arab World,,2005,EG.USE.PCAP.KG.OE,1467.58
ARB,Arab World,,2006,EG.USE.PCAP.KG.OE,1531.1
ARB,Arab World,,2007,EG.USE.PCAP.KG.OE,1557.63
ARB,Arab World,,2008,EG.USE.PCAP.KG.OE,1635.94
ARB,Arab World,,2009,EG.USE.PCAP.KG.OE,1677.46
ARB,Arab World,,2010,EG.USE.PCAP.KG.OE,1735.21
ARB,Arab World,,2011,EG.USE.PCAP.KG.OE,1703.94
ARB,Arab World,,2012,EG.USE.PCAP.KG.OE,1802.87
ARB,Arab World,,2013,EG.USE.PCAP.KG.OE,1759.61
ARE,United Arab Emirates,High income,1980,EG.USE.PCAP.KG.OE,7131.89
ARE,United Arab Emirates,High income,1981,EG.USE.PCAP.KG.OE,8063.25
ARE,United Arab Emirates,High income,1982,EG.USE.PCAP.KG.OE,8277.44
ARE,United Arab Emirates,High income,1983,EG.USE.PCAP.KG.OE,7526.24
ARE,United Arab Emirates,High income,1984,EG.USE.PCAP.KG.OE,9231.19
ARE,United Arab Emirates,High income,1985,EG.USE.PCAP.KG.OE,9943.49
ARE,United Arab Emirates,High income,1986,EG.USE.PCAP.KG.OE,10610.94
ARE,United Arab Emirates,High income,1987,EG.USE.PCAP.KG.OE,10977.78
ARE,United Arab Emirates,High income,1988,EG.USE.PCAP.KG.OE,10539.26
ARE,United Arab Emirates,High income,1989,EG.USE.PCAP.KG.OE,11433.39
ARE,United Arab Emirates,High income,1990,EG.USE.PCAP.KG.OE,10748.65
ARE,United Arab Emirates,High income,1991,EG.USE.PCAP.KG.OE,11694.92
ARE,United Arab Emirates,High income,1992,EG.USE.PCAP.KG.OE,10564.51
ARE,United Arab Emirates,High income,1993,EG.USE.PCAP.KG.OE,10576.05
ARE,United Arab Emirates,High income,1994,EG.USE.PCAP.KG.OE,11186.54
ARE,United Arab Emirates,High income,1995,EG.USE.PCAP.KG.OE,11374.22
ARE,United Arab Emirates,High income,1996,EG.USE.PCAP.KG.OE,11361.4
ARE,United Arab Emirates,High income,1997,EG.USE.PCAP.KG.OE,11243.9
ARE,United Arab Emirates,High income,1998,EG.USE.PCAP.KG.OE,10809.31
ARE,United Arab Emirates,High income,1999,EG.USE.PCAP.KG.OE,10408.87
ARE,United Arab Emirates,High income,2000,EG.USE.PCAP.KG.OE,9624.12
ARE,United Arab Emirates,High income,2001,EG.USE.PCAP.KG.OE,11638.62
ARE,United Arab Emirates,High income,2002,EG.USE.PCAP.KG.OE,10973.91
ARE,United Arab Emirates,High income,2003,EG.USE.PCAP.KG.OE,10287.49
ARE,United Arab Emirates,High income,2004,EG.USE.PCAP.KG.OE,10480.62
ARE,United Arab Emirates,High income,2005,EG.USE.PCAP.KG.OE,10394.3
ARE,United Arab Emirates,High income,2006,EG.USE.PCAP.KG.OE,9430.15
ARE,United Arab Emirates,High income,2007,EG.USE.PCAP.KG.OE,8537.92
ARE,United Arab Emirates,High income,2008,EG.USE.PCAP.KG.OE,8487.84
ARE,United Arab Emirates,High income,2009,EG.USE.PCAP.KG.OE,7501.04
ARE,United Arab Emirates,High income,2010,EG.USE.PCAP.KG.OE,7273.25
ARE,United Arab Emirates,High income,2011,EG.USE.PCAP.KG.OE,7502.56
ARE,United Arab Emirates,High income,2012,EG.USE.PCAP.KG.OE,7892.71
ARE,United Arab Emirates,High income,2013,EG.USE.PCAP.KG.OE,7992.44
ARG,Argentina,Upper middle income,1980,EG.USE.PCAP.KG.OE,1491.92
ARG,Argentina,Upper middle income,1981,EG.USE.PCAP.KG.OE,1434.06
ARG,Argentina,Upper middle income,1982,EG.USE.PCAP.KG.OE,1420.03
ARG,Argentina,Upper middle income,1983,EG.USE.PCAP.KG.OE,1423.68
ARG,Argentina,Upper middle income,1984,EG.USE.PCAP.KG.OE,1452.12
ARG,Argentina,Upper middle income,1985,EG.USE.PCAP.KG.OE,1365.23
ARG,Argentina,Upper middle income,1986,EG.USE.PCAP.KG.OE,1426.58
ARG,Argentina,Upper middle income,1987,EG.USE.PCAP.KG.OE,1482.25
ARG,Argentina,Upper middle income,1988,EG.USE.PCAP.KG.OE,1509.79
ARG,Argentina,Upper middle income,1989,EG.USE.PCAP.KG.OE,1445.86
ARG,Argentina,Upper middle income,1990,EG.USE.PCAP.KG.OE,1411.36
ARG,Argentina,Upper middle income,1991,EG.USE.PCAP.KG.OE,1434.32
ARG,Argentina,Upper middle income,1992,EG.USE.PCAP.KG.OE,1487.62
ARG,Argentina,Upper middle income,1993,EG.USE.PCAP.KG.OE,1471.83
ARG,Argentina,Upper middle income,1994,EG.USE.PCAP.KG.OE,1544.76
ARG,Argentina,Upper middle income,1995,EG.USE.PCAP.KG.OE,1546.51
ARG,Argentina,Upper middle income,1996,EG.USE.PCAP.KG.OE,1583.49
ARG,Argentina,Upper middle income,1997,EG.USE.PCAP.KG.OE,1614.73
ARG,Argentina,Upper middle income,1998,EG.USE.PCAP.KG.OE,1650.73
ARG,Argentina,Upper middle income,1999,EG.USE.PCAP.KG.OE,1659.77
ARG,Argentina,Upper middle income,2000,EG.USE.PCAP.KG.OE,1660.52
ARG,Argentina,Upper middle income,2001,EG.USE.PCAP.KG.OE,1562.31
ARG,Argentina,Upper middle income,2002,EG.USE.PCAP.KG.OE,1502.21
ARG,Argentina,Upper middle income,2003,EG.USE.PCAP.KG.OE,1590.84
ARG,Argentina,Upper middle income,2004,EG.USE.PCAP.KG.OE,1720.31
ARG,Argentina,Upper middle income,2005,EG.USE.PCAP.KG.OE,1712.85
ARG,Argentina,Upper middle income,2006,EG.USE.PCAP.KG.OE,1844.27
ARG,Argentina,Upper middle income,2007,EG.USE.PCAP.KG.OE,1849.45
ARG,Argentina,Upper middle income,2008,EG.USE.PCAP.KG.OE,1928.33
ARG,Argentina,Upper middle income,2009,EG.USE.PCAP.KG.OE,1856.1
ARG,Argentina,Upper middle income,2010,EG.USE.PCAP.KG.OE,1928.65
ARG,Argentina,Upper middle income,2011,EG.USE.PCAP.KG.OE,1952.05
ARG,Argentina,Upper middle income,2012,EG.USE.PCAP.KG.OE,1936.8
ARG,Argentina,Upper middle income,2013,EG.USE.PCAP.KG.OE,1967.02
ARM,Armenia,Upper middle income,1990,EG.USE.PCAP.KG.OE,2167.29
ARM,Armenia,Upper middle income,1991,EG.USE.PCAP.KG.OE,2245.91
ARM,Armenia,Upper middle income,1992,EG.USE.PCAP.KG.OE,1155.56
ARM,Armenia,Upper middle income,1993,EG.USE.PCAP.KG.OE,634.17
ARM,Armenia,Upper middle income,1994,EG.USE.PCAP.KG.OE,408.62
ARM,Armenia,Upper middle income,1995,EG.USE.PCAP.KG.OE,494.95
ARM,Armenia,Upper middle income,1996,EG.USE.PCAP.KG.OE,539.89
ARM,Armenia,Upper middle income,1997,EG.USE.PCAP.KG.OE,569.12
ARM,Armenia,Upper middle income,1998,EG.USE.PCAP.KG.OE,585.17
ARM,Armenia,Upper middle income,1999,EG.USE.PCAP.KG.OE,571.88
ARM,Armenia,Upper middle income,2000,EG.USE.PCAP.KG.OE,635.82
ARM,Armenia,Upper middle income,2001,EG.USE.PCAP.KG.OE,640.17
ARM,Armenia,Upper middle income,2002,EG.USE.PCAP.KG.OE,604.3
ARM,Armenia,Upper middle income,2003,EG.USE.PCAP.KG.OE,642.4
ARM,Armenia,Upper middle income,2004,EG.USE.PCAP.KG.OE,683.28
ARM,Armenia,Upper middle income,2005,EG.USE.PCAP.KG.OE,824.45
ARM,Armenia,Upper middle income,2006,EG.USE.PCAP.KG.OE,845.4
ARM,Armenia,Upper middle income,2007,EG.USE.PCAP.KG.OE,949.56
ARM,Armenia,Upper middle income,2008,EG.USE.PCAP.KG.OE,1006.92
ARM,Armenia,Upper middle income,2009,EG.USE.PCAP.KG.OE,880.47
ARM,Armenia,Upper middle income,2010,EG.USE.PCAP.KG.OE,842.82
ARM,Armenia,Upper middle income,2011,EG.USE.PCAP.KG.OE,927.14
ARM,Armenia,Upper middle income,2012,EG.USE.PCAP.KG.OE,1019.27
ARM,Armenia,Upper middle income,2013,EG.USE.PCAP.KG.OE,999.65
ATG,Antigua and Barbuda,High income,1990,EG.USE.PCAP.KG.OE,1560.57
ATG,Antigua and Barbuda,High income,2004,EG.USE.PCAP.KG.OE,1710.14
ATG,Antigua and Barbuda,High income,2005,EG.USE.PCAP.KG.OE,1715.31
ATG,Antigua and Barbuda,High income,2006,EG.USE.PCAP.KG.OE,1767.72
ATG,Antigua and Barbuda,High income,2007,EG.USE.PCAP.KG.OE,1780.14
AUS,Australia,High income,1980,EG.USE.PCAP.KG.OE,4737.48
AUS,Australia,High income,1981,EG.USE.PCAP.KG.OE,4695.85
AUS,Australia,High income,1982,EG.USE.PCAP.KG.OE,4815.51
AUS,Australia,High income,1983,EG.USE.PCAP.KG.OE,4547.9
AUS,Australia,High income,1984,EG.USE.PCAP.KG.OE,4641.15
AUS,Australia,High income,1985,EG.USE.PCAP.KG.OE,4594.12
AUS,Australia,High income,1986,EG.USE.PCAP.KG.OE,4623.75
AUS,Australia,High income,1987,EG.USE.PCAP.KG.OE,4772.38
AUS,Australia,High income,1988,EG.USE.PCAP.KG.OE,4702.85
AUS,Australia,High income,1989,EG.USE.PCAP.KG.OE,5001.1
AUS,Australia,High income,1990,EG.USE.PCAP.KG.OE,5061.5
AUS,Australia,High income,1991,EG.USE.PCAP.KG.OE,4927.77
AUS,Australia,High income,1992,EG.USE.PCAP.KG.OE,4963.86
AUS,Australia,High income,1993,EG.USE.PCAP.KG.OE,5156.93
AUS,Australia,High income,1994,EG.USE.PCAP.KG.OE,5103.95
AUS,Australia,High income,1995,EG.USE.PCAP.KG.OE,5148.34
AUS,Australia,High income,1996,EG.USE.PCAP.KG.OE,5419.1
AUS,Australia,High income,1997,EG.USE.PCAP.KG.OE,5497.5
AUS,Australia,High income,1998,EG.USE.PCAP.KG.OE,5584.52
AUS,Australia,High income,1999,EG.USE.PCAP.KG.OE,5644.26
AUS,Australia,High income,2000,EG.USE.PCAP.KG.OE,5680.9
AUS,Australia,High income,2001,EG.USE.PCAP.KG.OE,5486.06
AUS,Australia,High income,2002,EG.USE.PCAP.KG.OE,5614.26
AUS,Australia,High income,2003,EG.USE.PCAP.KG.OE,5618.09
AUS,Australia,High income,2004,EG.USE.PCAP.KG.OE,5652.76
AUS,Australia,High income,2005,EG.USE.PCAP.KG.OE,5624.19
AUS,Australia,High income,2006,EG.USE.PCAP.KG.OE,5778.28
AUS,Australia,High income,2007,EG.USE.PCAP.KG.OE,5868.34
AUS,Australia,High income,2008,EG.USE.PCAP.KG.OE,5964.67
AUS,Australia,High income,2009,EG.USE.PCAP.KG.OE,5862.56
AUS,Australia,High income,2010,EG.USE.PCAP.KG.OE,5793.12
AUS,Australia,High income,2011,EG.USE.PCAP.KG.OE,5745.23
AUS,Australia,High income,2012,EG.USE.PCAP.KG.OE,5575.29
AUS,Australia,High income,2013,EG.USE.PCAP.KG.OE,5468.39
AUT,Austria,High income,1980,EG.USE.PCAP.KG.OE,3067.01
AUT,Austria,High income,1981,EG.USE.PCAP.KG.OE,2897.01
AUT,Austria,High income,1982,EG.USE.PCAP.KG.OE,2830.22
AUT,Austria,High income,1983,EG.USE.PCAP.KG.OE,2843.41
AUT,Austria,High income,1984,EG.USE.PCAP.KG.OE,2953.69
AUT,Austria,High income,1985,EG.USE.PCAP.KG.OE,3051.6
AUT,Austria,High income,1986,EG.USE.PCAP.KG.OE,3061.59
AUT,Austria,High income,1987,EG.USE.PCAP.KG.OE,3174.75
AUT,Austria,High income,1988,EG.USE.PCAP.KG.OE,3204.56
AUT,Austria,High income,1989,EG.USE.PCAP.KG.OE,3138.98
AUT,Austria,High income,1990,EG.USE.PCAP.KG.OE,3240.11
AUT,Austria,High income,1991,EG.USE.PCAP.KG.OE,3415.17
AUT,Austria,High income,1992,EG.USE.PCAP.KG.OE,3245.59
AUT,Austria,High income,1993,EG.USE.PCAP.KG.OE,3255.78
AUT,Austria,High income,1994,EG.USE.PCAP.KG.OE,3234.49
AUT,Austria,High income,1995,EG.USE.PCAP.KG.OE,3373.6
AUT,Austria,High income,1996,EG.USE.PCAP.KG.OE,3580.42
AUT,Austria,High income,1997,EG.USE.PCAP.KG.OE,3550.4
AUT,Austria,High income,1998,EG.USE.PCAP.KG.OE,3606.61
AUT,Austria,High income,1999,EG.USE.PCAP.KG.OE,3591.81
AUT,Austria,High income,2000,EG.USE.PCAP.KG.OE,3570.5
AUT,Austria,High income,2001,EG.USE.PCAP.KG.OE,3758.46
AUT,Austria,High income,2002,EG.USE.PCAP.KG.OE,3773.65
AUT,Austria,High income,2003,EG.USE.PCAP.KG.OE,3973.62
AUT,Austria,High income,2004,EG.USE.PCAP.KG.OE,4007.57
AUT,Austria,High income,2005,EG.USE.PCAP.KG.OE,4085.57
AUT,Austria,High income,2006,EG.USE.PCAP.KG.OE,4078.81
AUT,Austria,High income,2007,EG.USE.PCAP.KG.OE,4019.59
AUT,Austria,High income,2008,EG.USE.PCAP.KG.OE,4032.15
AUT,Austria,High income,2009,EG.USE.PCAP.KG.OE,3798.15
AUT,Austria,High income,2010,EG.USE.PCAP.KG.OE,4051.2
AUT,Austria,High income,2011,EG.USE.PCAP.KG.OE,3921.9
AUT,Austria,High income,2012,EG.USE.PCAP.KG.OE,3886.77
AUT,Austria,High income,2013,EG.USE.PCAP.KG.OE,3919.04
AZE,Azerbaijan,Upper middle income,1990,EG.USE.PCAP.KG.OE,3158.35
AZE,Azerbaijan,Upper middle income,1991,EG.USE.PCAP.KG.OE,3087.75
AZE,Azerbaijan,Upper middle income,1992,EG.USE.PCAP.KG.OE,2464.58
AZE,Azerbaijan,Upper middle income,1993,EG.USE.PCAP.KG.OE,2175.34
AZE,Azerbaijan,Upper middle income,1994,EG.USE.PCAP.KG.OE,1947.81
AZE,Azerbaijan,Upper middle income,1995,EG.USE.PCAP.KG.OE,1809.19
AZE,Azerbaijan,Upper middle income,1996,EG.USE.PCAP.KG.OE,1513.67
AZE,Azerbaijan,Upper middle income,1997,EG.USE.PCAP.KG.OE,1444.32
AZE,Azerbaijan,Upper middle income,1998,EG.USE.PCAP.KG.OE,1485.15
AZE,Azerbaijan,Upper middle income,1999,EG.USE.PCAP.KG.OE,1369.11
AZE,Azerbaijan,Upper middle income,2000,EG.USE.PCAP.KG.OE,1403.43
AZE,Azerbaijan,Upper middle income,2001,EG.USE.PCAP.KG.OE,1410.97
AZE,Azerbaijan,Upper middle income,2002,EG.USE.PCAP.KG.OE,1414.53
AZE,Azerbaijan,Upper middle income,2003,EG.USE.PCAP.KG.OE,1476.59
AZE,Azerbaijan,Upper middle income,2004,EG.USE.PCAP.KG.OE,1539.23
AZE,Azerbaijan,Upper middle income,2005,EG.USE.PCAP.KG.OE,1599.96
AZE,Azerbaijan,Upper middle income,2006,EG.USE.PCAP.KG.OE,1559.57
AZE,Azerbaijan,Upper middle income,2007,EG.USE.PCAP.KG.OE,1411.56
AZE,Azerbaijan,Upper middle income,2008,EG.USE.PCAP.KG.OE,1520.31
AZE,Azerbaijan,Upper middle income,2009,EG.USE.PCAP.KG.OE,1334.17
AZE,Azerbaijan,Upper middle income,2010,EG.USE.PCAP.KG.OE,1279.55
AZE,Azerbaijan,Upper middle income,2011,EG.USE.PCAP.KG.OE,1369.35
